No.,Exam Group Name,Batch name,Exam type, ExamName, Maximum marks , Minimum marks ,Start time ,End time
1,Quiz-1,01-01-A 2017-18,MarksAndGrades,"English
 Science
Islamiat
Computer
S.Studies
 Math
Urdu"," 25.0
 15.0
 10.0
 10.0
 15.0
 25.0
 20.0"," 0.0
 0.0
 0.0
 0.0
 0.0
 0.0
 0.0"," 10/04/2017 08:00 AM
 12/04/2017 08:00 AM
 18/04/2017 08:00 AM
 19/04/2017 08:00 AM
 14/04/2017 08:00 AM
 17/04/2017 08:00 AM
 21/04/2017 08:00 AM"," 10/04/2017 08:40 AM
 12/04/2017 08:40 AM
 18/04/2017 08:40 AM
 19/04/2017 08:40 AM
 14/04/2017 08:40 AM
 17/04/2017 08:40 AM
 21/04/2017 08:40 AM"
2,Quiz-I,01-01-B 2017-18,MarksAndGrades,"English
 Science
Islamiat
Computer
S.Studies
 Math
Urdu"," 25.0
 15.0
 10.0
 10.0
 15.0
 25.0
 20.0"," 0.0
 0.0
 0.0
 0.0
 0.0
 0.0
 0.0"," 10/04/2017 08:00 AM
 12/04/2017 08:00 AM
 18/04/2017 08:00 AM
 19/04/2017 08:00 AM
 14/04/2017 08:00 AM
 17/04/2017 08:00 AM
 21/04/2017 08:00 AM"," 10/04/2017 08:40 AM
 12/04/2017 08:40 AM
 18/04/2017 08:40 AM
 19/04/2017 08:40 AM
 14/04/2017 08:40 AM
 17/04/2017 08:40 AM
 21/04/2017 08:40 AM"
