No.,Name,Code,Section,Batch,Students,Male,Female
1,01,01,"",10,184,106,78
2,02,02,"",7,163,95,68
3,03,03,"",7,154,89,65
4,04,04,"",6,132,82,50
5,05,05,"",7,123,70,53
6,06,06,"",5,111,73,38
7,07,07,"",3,47,28,19
8,10C,10C,"",2,28,15,13
9,10M,10M,"",6,69,43,26
10,1st Year,1st,"",6,71,42,29
11,2nd Year,2nd,"",6,38,18,20
12,7C,7C,"",1,15,9,6
13,8C,8C,"",1,27,14,13
14,8M,8M,"",3,106,74,32
15,9C,9C,"",2,17,6,11
16,9M,9M,"",6,123,77,46
17,KG,KG,"",7,141,77,64
18,PG,PG,"",5,55,33,22
19,PR,PR,"",8,181,103,78
