No.,Name,Start date,End date,Tutor,Students,Male,Female
1,01-Y-01-2017,01/03/2017 ,31/12/2017 ,"",21,11,10
2,01-P-01-2017,01/03/2017 ,31/12/2017 ,"",23,10,13
3,01-B-01-2017,01/03/2017 ,31/12/2017 ,"",24,16,8
4,01-V-01-2017,01/03/2017 ,31/12/2017 ,"",23,15,8
5,01-G-01-2017,01/03/2017 ,31/12/2017 ,"",25,16,9
6,01-R-01-2017,01/03/2017 ,31/12/2017 ,"",16,5,11
7,01-GR-01-2017,01/03/2017 ,31/12/2017 ,"",18,11,7
8,01-O-01-2017,01/03/2017 ,31/12/2017 ,"",24,16,8
9,02-G-02-2017,01/03/2017 ,31/12/2017 ,"",26,14,12
10,02-O-02-2017,01/03/2017 ,31/12/2017 ,"",27,15,12
11,02-Y-02-2017,01/03/2017 ,31/12/2017 ,"",23,7,16
12,02-P-02-2017,01/03/2017 ,31/12/2017 ,"",29,16,13
13,02-V-02-2017,01/03/2017 ,31/12/2017 ,"",27,16,11
14,02-B-02-2017,01/03/2017 ,31/12/2017 ,"",28,19,9
15,03-G-03-2017,01/03/2017 ,31/12/2017 ,"",23,16,7
16,03-B-03-2017,01/03/2017 ,31/12/2017 ,"",23,12,11
17,03-O-03-2017,01/03/2017 ,31/12/2017 ,"",23,11,12
18,03-Y-03-2017,01/03/2017 ,31/12/2017 ,"",21,17,4
19,03-P-03-2017,01/03/2017 ,31/12/2017 ,"",20,13,7
20,03-V-03-2017,01/03/2017 ,31/12/2017 ,"",18,10,8
21,04-C-04-2017,01/03/2017 ,31/12/2017 ,"",22,14,8
22,04-F-04-2017,01/03/2017 ,31/12/2017 ,"",20,15,5
23,04-A-04-2017,01/03/2017 ,31/12/2017 ,"",26,14,12
24,04-D-04-2017,01/03/2017 ,31/12/2017 ,"",25,10,15
25,04-E-04-2017,01/03/2017 ,31/12/2017 ,"",21,8,13
26,04-B-04-2017,01/03/2017 ,31/12/2017 ,"",24,15,9
27,05-D-05-2017,01/03/2017 ,31/12/2017 ,"",28,28,0
28,05-E-05-2017,01/03/2017 ,31/12/2017 ,"",26,25,1
29,05-A-05-2017,01/03/2017 ,31/12/2017 ,"",20,0,20
30,05-B-05-2017,01/03/2017 ,31/12/2017 ,"",20,0,20
31,05-C-05-2017,01/03/2017 ,31/12/2017 ,"",25,25,0
32,06-B-06-2017,01/03/2017 ,31/12/2017 ,"",26,26,0
33,06-A-06-2017,01/03/2017 ,31/12/2017 ,"",31,0,31
34,06-C-06-2017,01/03/2017 ,31/12/2017 ,"",26,26,0
35,06-D-06-2017,01/03/2017 ,31/12/2017 ,"",0,0,0
36,07-B-07-2017,01/03/2017 ,31/12/2017 ,"",24,24,0
37,07-C-07-2017,01/03/2017 ,31/12/2017 ,"",24,24,0
38,07-D-07-2017,01/03/2017 ,31/12/2017 ,"",22,22,0
39,07-A-07-2017,01/03/2017 ,31/12/2017 ,"",35,0,35
40,10C-10C-2017,01/03/2017 ,31/12/2017 ,"",9,4,5
41,10M-M1-2017,01/03/2017 ,31/12/2017 ,"",26,0,26
42,10M-M2-2017,01/03/2017 ,31/12/2017 ,"",26,26,0
43,10M-M3-2017,01/03/2017 ,31/12/2017 ,"",23,23,0
44,1st-G-2017-18,01/01/2017 ,30/06/2018 ,"",30,0,30
45,1st-B1-2017-18,01/01/2017 ,30/06/2018 ,"",27,27,0
46,1st-B2-2017-18,01/01/2017 ,30/06/2018 ,"",18,18,0
47,2nd-B2-2017-18,01/01/2017 ,30/06/2018 ,"",0,0,0
48,2nd-G-2017-18,01/01/2017 ,30/06/2018 ,"",21,0,21
49,2nd-B1-2017-18,01/01/2017 ,30/06/2018 ,"",19,19,0
50,7C-7C-2017,01/03/2017 ,31/12/2017 ,"",10,7,3
51,8C-8C-2017,01/03/2017 ,31/12/2017 ,"",24,11,13
52,8M-M2-2017,01/03/2017 ,31/12/2017 ,"",28,28,0
53,8M-M1-2017,01/03/2017 ,31/12/2017 ,"",25,0,25
54,8M-M3-2017,01/03/2017 ,31/12/2017 ,"",25,25,0
55,9C-9C-2017,01/03/2017 ,31/12/2017 ,"",19,11,8
56,9M-M2-2017,01/03/2017 ,31/12/2017 ,"",31,31,0
57,9M-M3-2017,01/03/2017 ,31/12/2017 ,"",29,29,0
58,9M-M1-2017,01/03/2017 ,31/12/2017 ,"",25,0,25
59,KG-C-KG-2017,01/03/2017 ,31/12/2017 ,"",23,15,8
60,KG-A-KG-2017,01/03/2017 ,31/12/2017 ,"",30,16,14
61,KG-D-KG-2017,01/03/2017 ,31/12/2017 ,"",25,16,9
62,KG-E-KG-2017,01/03/2017 ,31/12/2017 ,"",30,17,13
63,KG-F-KG-2017,01/03/2017 ,31/12/2017 ,"",22,12,10
64,KG-G-KG-2017,01/03/2017 ,31/12/2017 ,"",29,19,10
65,KG-B-KG-2017,01/03/2017 ,31/12/2017 ,"",24,12,12
66,PG-B-PG-2017,01/03/2017 ,31/12/2017 ,"",27,15,12
67,PG-C-PG-2017,01/03/2017 ,31/12/2017 ,"",29,17,12
68,PG-D-PG-2017,01/03/2017 ,31/12/2017 ,"",28,10,18
69,PG-E-PG-2017,01/03/2017 ,31/12/2017 ,"",24,17,7
70,PG-A-PG-2017,01/03/2017 ,31/12/2017 ,"",32,16,16
71,PR-B-PR-2017,01/03/2017 ,31/12/2017 ,"",26,14,12
72,PR-C-PR-2017,01/03/2017 ,31/12/2017 ,"",29,12,17
73,PR-A-PR-2017,01/03/2017 ,31/12/2017 ,"",27,20,7
74,PR-D-PR-2017,01/03/2017 ,31/12/2017 ,"",32,20,12
75,PR-E-PR-2017,01/03/2017 ,31/12/2017 ,"",26,17,9
76,PR-F-PR-2017,01/03/2017 ,31/12/2017 ,"",25,12,13
77,PR-G-PR-2017,01/03/2017 ,31/12/2017 ,"",14,6,8
